index,name,call_duration,call_type,device_id,device_label,timestamp,trace
46093,calls,0.0,1.0,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,1592420823452,31E29B42-2042-43CB-92D7-BDDEC518EE29
46094,calls,8.0,2.0,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,1592420831524,31E29B42-2042-43CB-92D7-BDDEC518EE29
46095,calls,54.0,4.0,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,1592420886190,31E29B42-2042-43CB-92D7-BDDEC518EE29
46096,calls,0.0,1.0,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,1592424992724,F928327D-53DC-4E54-9AD1-6F2741C476CB
46097,calls,5.0,2.0,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,1592424998473,F928327D-53DC-4E54-9AD1-6F2741C476CB
46098,calls,64.0,4.0,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,1592425062550,F928327D-53DC-4E54-9AD1-6F2741C476CB
46099,calls,0.0,1.0,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,1592428067333,BFCFCBFE-570F-487E-96A8-BF56F217EC32
46100,calls,18.0,4.0,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,1592428085966,BFCFCBFE-570F-487E-96A8-BF56F217EC32
46101,calls,0.0,1.0,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,1592428597007,6D3FC933-9C7A-42B8-9BD1-8745AF54C156
46102,calls,30.0,4.0,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,1592428627620,6D3FC933-9C7A-42B8-9BD1-8745AF54C156
46103,calls,0.0,3.0,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,1592428745678,4B842ED1-196B-43A0-B710-A3D6C4AD1ADB
46104,calls,10.0,2.0,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,1592428755744,4B842ED1-196B-43A0-B710-A3D6C4AD1ADB
46105,calls,69.0,4.0,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,1592428825303,4B842ED1-196B-43A0-B710-A3D6C4AD1ADB
